ID	BENCH	M2	CLUST	M1	METHOD	R	METRIC	VALUE	GEN
A-32	pope	32	0	32	none	0.5	AvgF1	0.733713647872792	8910
A-64	pope	64	0	64	none	0.5	AvgF1	0.8047006348843772	8910
A-64-r03	pope	64	0	64	none	0.3	AvgF1	0.8101551476717305	8910
A-64-r07	pope	64	0	64	none	0.7	AvgF1	0.7842113514841592	8910
A-128	pope	128	0	128	none	0.5	AvgF1	0.8462232739996504	8910
A-576	pope	576	0	576	none	0.5	AvgF1	0.8587870689695657	8910
P-64-32	pope	32	1	64	simple_avg	0.5	AvgF1	0.7502716116699095	8910
P-64-32r	pope	32	1	64	weighted_avg	0.5	AvgF1	0.7691113611328926	8910
P-128-32	pope	32	1	128	simple_avg	0.5	AvgF1	0.7810436238757846	8910
P-128-32r	pope	32	1	128	weighted_avg	0.5	AvgF1	0.7872402243448787	8910
P-128-64	pope	64	1	128	simple_avg	0.5	AvgF1	0.8005501292906452	8910
P-128-64r	pope	64	1	128	weighted_avg	0.5	AvgF1	0.8019642873889534	8910
P-256-64	pope	64	1	256	simple_avg	0.5	AvgF1	0.8219745449679627	8910
P-256-64r	pope	64	1	256	weighted_avg	0.5	AvgF1	0.825309791834258	8910
A-32	gqa	32	0	32	none	0.5	Acc	52.04	12578
A-64	gqa	64	0	64	none	0.5	Acc	56.03	12578
A-64-r03	gqa	64	0	64	none	0.3	Acc	55.84	12578
A-64-r07	gqa	64	0	64	none	0.7	Acc	55.66	12578
A-128	gqa	128	0	128	none	0.5	Acc	58.17	12578
A-576	gqa	576	0	576	none	0.5	Acc	61.93	12578
P-64-32	gqa	32	1	64	simple_avg	0.5	Acc	52.74	12578
P-64-32r	gqa	32	1	64	weighted_avg	0.5	Acc	53.01	12578
P-128-32	gqa	32	1	128	simple_avg	0.5	Acc	54.05	12578
P-128-32r	gqa	32	1	128	weighted_avg	0.5	Acc	55.02	12578
P-128-64	gqa	64	1	128	simple_avg	0.5	Acc	54.89	12578
P-128-64r	gqa	64	1	128	weighted_avg	0.5	Acc	54.47	12578
P-256-64	gqa	64	1	256	simple_avg	0.5	Acc	57.07	12578
P-256-64r	gqa	64	1	256	weighted_avg	0.5	Acc	56.79	12578
