ID	BENCH	M2	CLUST	M1	METHOD	R	METRIC	VALUE	GEN
M-192	gqa	64	1	192	simple_avg	0.5	Acc	57.04	12578/12578
M-96	gqa	64	1	96	simple_avg	0.5	Acc	56.07	12578/12578
M-256	pope	64	1	256	simple_avg	0.5	AvgF1	0.8364321655761565	8910/8910
M-256	gqa	64	1	256	simple_avg	0.5	Acc	57.60	12578/12578
M-384	pope	64	1	384	simple_avg	0.5	AvgF1	0.8312670507986435	8910/8910
M-576	pope	64	1	576	simple_avg	0.5	AvgF1	0.8083422224708583	8910/8910
M-384	gqa	64	1	384	simple_avg	0.5	Acc	57.26	12578/12578
M32-128	pope	32	1	128	simple_avg	0.5	AvgF1	0.7867439097515606	8910/8910
M-576	gqa	64	1	576	simple_avg	0.5	Acc	56.64	12578/12578
M32-256	pope	32	1	256	simple_avg	0.5	AvgF1	0.7973315964437813	8910/8910
M32-128	gqa	32	1	128	simple_avg	0.5	Acc	54.87	12578/12578
M32-256	gqa	32	1	256	simple_avg	0.5	Acc	55.76	12578/12578
M32-48	pope	32	1	48	simple_avg	0.5	AvgF1	0.7515048292278871	8910/8910
M32-48	gqa	32	1	48	simple_avg	0.5	Acc	53.11	12578/12578
M32-96	pope	32	1	96	simple_avg	0.5	AvgF1	0.7821211912072532	8910/8910
M32-192	pope	32	1	192	simple_avg	0.5	AvgF1	0.7998414111172973	8910/8910
M32-96	gqa	32	1	96	simple_avg	0.5	Acc	54.58	12578/12578
M32-288	pope	32	1	288	simple_avg	0.5	AvgF1	0.7999211448693071	8910/8910
M32-192	gqa	32	1	192	simple_avg	0.5	Acc	55.24	12578/12578
M32-384	pope	32	1	384	simple_avg	0.5	AvgF1	0.8027394987637203	8910/8910
M32-288	gqa	32	1	288	simple_avg	0.5	Acc	55.49	12578/12578
M32-576	pope	32	1	576	simple_avg	0.5	AvgF1	0.7621313311123474	8910/8910
M32-384	gqa	32	1	384	simple_avg	0.5	Acc	55.64	12578/12578
M32-576	gqa	32	1	576	simple_avg	0.5	Acc	53.94	12578/12578
