ID	BENCH	M2	CLUST	M1	METHOD	R	METRIC	VALUE	GEN
TC-32-base	textvqa	32	0	32	simple_avg	0.5	Acc	53.83	5000/5000
TC-64-base	textvqa	64	0	64	simple_avg	0.5	Acc	55.73	5000/5000
TC-64	textvqa	64	1	64	simple_avg	0.5	Acc	55.73	5000/5000
TC-96	textvqa	64	1	96	simple_avg	0.5	Acc	53.89	5000/5000
TC-128	textvqa	64	1	128	simple_avg	0.5	Acc	54.03	5000/5000
TC-192	textvqa	64	1	192	simple_avg	0.5	Acc	52.87	5000/5000
TC-384	textvqa	64	1	384	simple_avg	0.5	Acc	51.40	5000/5000
TC-256	textvqa	64	1	256	simple_avg	0.5	Acc	52.59	5000/5000
TC-576	textvqa	64	1	576	simple_avg	0.5	Acc	50.25	5000/5000
TC32-32	textvqa	32	1	32	simple_avg	0.5	Acc	53.83	5000/5000
TC32-48	textvqa	32	1	48	simple_avg	0.5	Acc	53.28	5000/5000
TC32-64	textvqa	32	1	64	simple_avg	0.5	Acc	52.85	5000/5000
TC32-96	textvqa	32	1	96	simple_avg	0.5	Acc	52.75	5000/5000
TC32-128	textvqa	32	1	128	simple_avg	0.5	Acc	52.21	5000/5000
TC32-192	textvqa	32	1	192	simple_avg	0.5	Acc	51.16	5000/5000
TC32-256	textvqa	32	1	256	simple_avg	0.5	Acc	50.53	5000/5000
TC32-288	textvqa	32	1	288	simple_avg	0.5	Acc	50.41	5000/5000
TC32-384	textvqa	32	1	384	simple_avg	0.5	Acc	49.14	5000/5000
TC32-576	textvqa	32	1	576	simple_avg	0.5	Acc	47.78	5000/5000
