ID	BENCH	M2	CLUST	M1	METHOD	R	METRIC	VALUE	GEN
WM-128	textvqa	64	1	128	weighted_avg	0.5	Acc	54.82	5000/5000
WM-96	textvqa	64	1	96	weighted_avg	0.5	Acc	55.05	5000/5000
WM-256	textvqa	64	1	256	weighted_avg	0.5	Acc	53.97	5000/5000
WM-192	textvqa	64	1	192	weighted_avg	0.5	Acc	53.92	5000/5000
WM-576	textvqa	64	1	576	weighted_avg	0.5	Acc	52.31	5000/5000
WM-384	textvqa	64	1	384	weighted_avg	0.5	Acc	52.96	5000/5000
WM32-48	textvqa	32	1	48	weighted_avg	0.5	Acc	53.88	5000/5000
WM32-64	textvqa	32	1	64	weighted_avg	0.5	Acc	53.30	5000/5000
WM32-96	textvqa	32	1	96	weighted_avg	0.5	Acc	53.07	5000/5000
WM32-128	textvqa	32	1	128	weighted_avg	0.5	Acc	52.93	5000/5000
WM32-192	textvqa	32	1	192	weighted_avg	0.5	Acc	52.30	5000/5000
WM32-256	textvqa	32	1	256	weighted_avg	0.5	Acc	52.13	5000/5000
WM32-384	textvqa	32	1	384	weighted_avg	0.5	Acc	51.46	5000/5000
WM32-288	textvqa	32	1	288	weighted_avg	0.5	Acc	51.91	5000/5000
WM32-576	textvqa	32	1	576	weighted_avg	0.5	Acc	50.12	5000/5000
