ID	BENCH	M2	CLUST	M1	METHOD	R	METRIC	VALUE	GEN
WM-96	pope	64	1	96	weighted_avg	0.5	AvgF1	0.8137198697281577	8910/8910
WM-96	gqa	64	1	96	weighted_avg	0.5	Acc	56.07	12578/12578
WM-128	pope	64	1	128	weighted_avg	0.5	AvgF1	0.8259559695002613	8910/8910
WM32-48	pope	32	1	48	weighted_avg	0.5	AvgF1	0.7476755185446882	8910/8910
WM32-64	pope	32	1	64	weighted_avg	0.5	AvgF1	0.7765369164114215	8910/8910
WM32-96	pope	32	1	96	weighted_avg	0.5	AvgF1	0.7817734083865552	8910/8910
WM32-64	gqa	32	1	64	weighted_avg	0.5	Acc	54.03	12578/12578
WM32-128	pope	32	1	128	weighted_avg	0.5	AvgF1	0.7913789410767541	8910/8910
WM32-96	gqa	32	1	96	weighted_avg	0.5	Acc	54.64	12578/12578
WM32-192	pope	32	1	192	weighted_avg	0.5	AvgF1	0.8044793263826264	8910/8910
WM32-128	gqa	32	1	128	weighted_avg	0.5	Acc	55.14	12578/12578
WM32-256	pope	32	1	256	weighted_avg	0.5	AvgF1	0.8064923982615929	8910/8910
WM32-192	gqa	32	1	192	weighted_avg	0.5	Acc	55.13	12578/12578
WM32-288	pope	32	1	288	weighted_avg	0.5	AvgF1	0.8077022892661295	8910/8910
WM32-256	gqa	32	1	256	weighted_avg	0.5	Acc	55.49	12578/12578
WM32-384	pope	32	1	384	weighted_avg	0.5	AvgF1	0.8060534374300077	8910/8910
WM32-288	gqa	32	1	288	weighted_avg	0.5	Acc	55.79	12578/12578
WM32-576	pope	32	1	576	weighted_avg	0.5	AvgF1	0.7741975205782574	8910/8910
WM32-384	gqa	32	1	384	weighted_avg	0.5	Acc	55.48	12578/12578
WM32-576	gqa	32	1	576	weighted_avg	0.5	Acc	54.17	12578/12578
WM-192	pope	64	1	192	weighted_avg	0.5	AvgF1	0.8349707421859952	8910/8910
WM-128	gqa	64	1	128	weighted_avg	0.5	Acc	56.92	12578/12578
WM-256	pope	64	1	256	weighted_avg	0.5	AvgF1	0.8365342504151015	8910/8910
WM-192	gqa	64	1	192	weighted_avg	0.5	Acc	57.20	12578/12578
WM-384	pope	64	1	384	weighted_avg	0.5	AvgF1	0.838059097914159	8910/8910
WM-256	gqa	64	1	256	weighted_avg	0.5	Acc	57.54	12578/12578
WM-576	pope	64	1	576	weighted_avg	0.5	AvgF1	0.8217262544051328	8910/8910
WM-384	gqa	64	1	384	weighted_avg	0.5	Acc	57.44	12578/12578
WM-576	gqa	64	1	576	weighted_avg	0.5	Acc	56.76	12578/12578
WM32-48	gqa	32	1	48	weighted_avg	0.5	Acc	53.23	12578/12578
